Surface area of the Farm,Debt in Euros,Revenues,Revenues:SA,Debt in Euros : SA,Natura2000zones,Sex,Age range,Debt in EurosSW
19,1325695,849912,44732.21053,69773.42105,0,1,6,1325695
30,1871662.23,1325201.22,44173.374,62388.741,0,1,10,1871662.23
7,53511.03,160196.25,22885.17857,7644.432857,0,2,9,53511.03
23,552245,375059,16306.91304,24010.65217,1,1,9,552245
16,166014.71,354390.91,22149.43188,10375.91938,0,1,6,166014.71
16,163172,205678,12854.875,10198.25,0,1,8,163172
10,10619,136489,13648.9,1061.9,0,1,4,10619
16,136120.23,209865.49,13116.59313,8507.514375,0,1,8,136120.23
11,94150,80240,7294.545455,8559.090909,0,1,7,94150
11,243583,436067,39642.45455,22143.90909,0,1,8,243583
15,578470,385768,25717.86667,38564.66667,0,1,8,578470
14,568368.9,940065.27,67147.51929,40597.77857,0,1,7,568368.9
15,126492,281931,18795.4,8432.8,0,1,9,126492
17,164378.4,100838.26,5931.662353,9669.317647,1,1,7,164378.4
24,423653,518397,21599.875,17652.20833,0,1,8,423653
12,143342,202675,16889.58333,11945.16667,0,1,9,143342
28,1863833.68,941882.64,33638.66571,66565.48857,0,1,5,1863833.68
17,360804.3,304352.18,17903.06941,21223.78235,0,1,6,360804.3
26,1153899,275370,10591.15385,44380.73077,0,1,7,1153899
26,396246,512249,19701.88462,15240.23077,0,1,7,396246
24,320599.53,207124.53,8630.18875,13358.31375,0,1,10,320599.53
19,896815,1316827,69306.68421,47200.78947,0,1,10,896815
13,105953,117686,9052.769231,8150.230769,0,2,10,105953
16,225207,495887,30992.9375,14075.4375,0,1,9,225207
12,28962.91,84639.08,7053.256667,2413.575833,0,1,9,28962.91
23,357731,303327,13188.13043,15553.52174,0,1,9,357731
12,325191,227223,18935.25,27099.25,0,1,7,325191
12,134022,231506,19292.16667,11168.5,0,1,7,134022
12,93287,163841,13653.41667,7773.916667,1,1,6,93287
27,447642,332906,12329.85185,16579.33333,0,1,9,447642
