OTEXE,TDTE3
15,148301
15,126166
15,31054
15,38145.45
15,9119
15,74296
15,238907
15,136039
15,75751
15,276631
15,85682
15,191409
15,19515
15,103355
15,117012
15,17340
15,131303
15,182201
15,144200
15,332570
15,25358
15,191981.51
15,123810
15,122696.52
15,203237.92
15,76717
15,51841
15,68375
15,350089
15,450459
15,1803
15,73176.93
15,122115.41
15,96907.68
15,267378
15,93717
15,136273.99
15,164927.93
15,109551
15,284261.25
15,84442
15,108651
15,267906
15,82301
15,137919
15,260288
15,114954
15,13830
15,1308
15,32379
15,323202
15,10507
15,83230.55
15,716264
15,32911
15,18459
15,10384
15,10599
15,386
15,59496
15,354471
15,290538
15,42563
15,126091
15,57812
15,474050
15,86252
15,98752
15,729040.86
15,25831
15,110037
15,207602.81
15,17104
15,6938.74
15,1052.74
15,48906
15,267226.41
15,5387.15
15,306060.48
15,211096
15,273337.37
15,27369.98
15,61651
15,173538.18
15,250612.02
15,26574
15,249316
15,29986
15,26374.81
15,6045
15,107409
15,333432
15,370037.95
15,4985
15,46233
15,624193
15,1793
15,21142.35
15,714706
15,356294.33
15,224118
15,354634
15,43305.85
15,19419.79
15,100416.17
15,511978.98
15,84274.79
15,20918.07
15,146089.95
15,226674.69
15,1796.9
15,114137
15,190962
15,132383
15,149614
15,413509
15,89529.3
15,83889.4
15,197393.37
15,12924
15,41559
15,20323
15,11080
15,59325
15,171524.48
15,114587.99
15,167481.25
15,277075.87
15,442499
15,1168
15,106532
15,47679
15,33626
15,34854.16
15,131459.69
15,44338
15,251066
15,62361.94
15,309297
15,206435
15,192771
15,10550
15,305011.37
15,148268.71
15,23730.82
15,159203
15,150693
15,130598
15,179062
15,387563.38
15,224392.94
15,71525
15,229931
15,2537
15,110987
15,311210
15,58366
15,115664.98
15,143051
15,319689
15,107279
15,32398.71
15,140828
15,260068.14
15,4865
15,92047.11
15,6359.84
15,132857
15,281449
15,37136.38
15,302692.62
15,219219
15,123189.31
15,127741.54
15,179870
15,616824
15,258334
15,14181
15,330666
15,133331.84
15,181035
15,33525.54
15,265809.07
15,481686.44
15,294946
15,162219
15,60646.51
15,85474
15,21462
15,24373.1
15,161035.65
15,283397
15,255147
15,389292
15,465594
15,236635
15,249458
15,256792
15,257243
15,103372
15,78306.9
15,24534
15,221210
15,132704
15,31843
15,87557.69
15,47930
15,17994.1
15,111778.93
15,60106.37
15,25338.37
15,168750
15,57351
15,186150
15,260248.63
15,650049
15,226877.99
15,433765
15,61274.06
15,98006
15,10844
15,114104.4
15,66074.26
15,143477
15,17451
15,64769
15,1132104.07
15,74206
15,54952
15,395869.63
15,200278.32
15,57545.45
15,236
15,6833
15,82749
15,111295
15,65650
15,111748
15,74352.78
15,65806.57
15,47829.26
15,357560.7
15,228946
15,273379.28
15,138783.34
15,152784
15,439739.91
15,131387
15,22227
15,480960
15,236572.47
15,908.96
15,360536
15,188494
15,194616.68
15,92342
15,105577.43
15,80343
15,98966
15,156102
15,58102
15,67288
15,362229
15,291328
15,103751.77
15,122433
15,94516.93
15,36042
15,62413.5
15,38358
15,78142
15,11429
15,209170.06
15,245396.72
15,375254.44
15,77190.56
15,441803
15,4424
15,220775
15,615084
15,18934
15,231578
15,326929
15,267000
15,34212
15,9670
15,7433.76
15,3128
15,14860
15,66452.44
15,67799.21
15,38928.83
15,179103
15,187889
15,567269
15,17198.02
15,95673.52
15,107408.74
15,181603.69
15,196910
15,107236
15,92098
15,90684
15,352753
15,44930
15,39497
15,206405
15,62032
15,9817
15,201959
15,146094.76
15,155200
15,106719
15,87237
15,305671.53
15,41682
15,176565.3
15,73165.7
15,259422
15,250020
15,99861
15,73488
15,142413.62
15,52273
15,97083
15,13410
15,78349
15,25794
15,20603.57
15,2313.08
15,60279
15,77675
15,126180
15,25511.7
15,278455.87
15,5136.67
15,135444
15,394481.78
15,24475
15,103947.23
15,398023
15,137869
15,146672
15,255947.71
15,178478.72
15,331265
15,72251
15,807709
15,306997.95
15,23651
15,208447
15,42304
15,7780
15,175717
15,156096.34
15,546166.96
15,30605
15,123587
15,361650.29
15,29479
15,168580.98
15,61818
15,40027
15,370217
15,154854
15,88285
